Day of Week,Date,Subways: % of Comparable Pre-Pandemic Day,7-day Averge,Subway Mobility Index,Avg. Ridership
2,2020-04-14,0.073,0.07271428571428576,107.27142857142857,355077.85714285716
3,2020-04-15,0.07,0.07228571428571433,107.22857142857143,353884.28571428574
4,2020-04-16,0.071,0.07242857142857148,107.24285714285715,356125.4285714286
5,2020-04-17,0.091,0.07542857142857148,107.54285714285714,360719.5714285714
6,2020-04-18,0.09,0.0771428571428572,107.71428571428572,360337.4285714286
7,2020-04-19,0.096,0.07942857142857147,107.94285714285714,364060
1,2020-04-20,0.08900000000000001,0.082857142857142893,108.28571428571429,374725.85714285716
2,2020-04-21,0.078,0.08357142857142862,108.35714285714286,373570.71428571426
3,2020-04-22,0.085,0.08571428571428576,108.57142857142858,379245.4285714286
4,2020-04-23,0.083,0.08742857142857148,108.74285714285715,384000.71428571426
5,2020-04-24,0.08800000000000001,0.08700000000000005,108.7,385649
6,2020-04-25,0.091,0.08714285714285719,108.71428571428572,391512.4285714286
7,2020-04-26,0.091,0.08642857142857148,108.64285714285715,390704.5714285714
1,2020-04-27,0.083,0.08557142857142862,108.55714285714286,394287.14285714284
2,2020-04-28,0.085,0.08657142857142862,108.65714285714286,403889
3,2020-04-29,0.08199999999999999,0.08614285714285719,108.61428571428573,406605.4285714286
4,2020-04-30,0.079,0.08557142857142862,108.55714285714286,408367.28571428574
5,2020-05-01,0.086,0.08528571428571433,108.52857142857144,415605.5714285714
6,2020-05-02,0.10099999999999999,0.08671428571428576,108.67142857142858,419965.28571428574
7,2020-05-03,0.111,0.08957142857142862,108.95714285714287,425694.28571428574
1,2020-05-04,0.091,0.09071428571428576,109.07142857142857,432703.28571428574
2,2020-05-05,0.09,0.09142857142857148,109.14285714285714,437404.14285714284
3,2020-05-06,0.087,0.09214285714285719,109.21428571428571,441840.85714285716
4,2020-05-07,0.091,0.09385714285714289,109.38571428571429,451750.85714285716
