date_of_interest,HOSPITALIZED_COUNT,rolling_seven,log_hosp,Covid-19 Hospitalizations Index
2021-09-24,72,79.57142857142857,1.9061810639690857,45.53768388659755
2021-09-25,61,76.57142857142857,1.88970178957459,46.00852029786886
2021-09-26,47,76,1.8864907251724816,46.100264995071946
2021-09-27,67,72.71428571428571,1.8675516616129544,46.641381096772726
2021-09-28,57,69.57142857142857,1.84862890890939,47.182031174017425
2021-09-29,54,64.28571428571429,1.8148181600555937,48.14805256984018
2021-09-30,51,59.142857142857146,1.7791840558214116,49.166169833673955
2021-10-01,75,58.857142857142854,1.7771159829520384,49.22525762994175
2021-10-02,55,58,1.7708520116421442,49.40422823879588
2021-10-03,63,64.71428571428571,1.8176597916673172,48.06686309521952
2021-10-04,70,64.71428571428571,1.8176597916673172,48.06686309521952
2021-10-05,67,65.42857142857143,1.822354912875697,47.932716774980086
2021-10-06,51,63.57142857142857,1.8100403947971253,48.28456014865357
2021-10-07,58,63.714285714285715,1.8110001619985752,48.25713822861214
2021-10-08,42,58.285714285714285,1.7729500566978358,49.34428409434754
2021-10-09,65,59.42857142857143,1.7812423273607856,49.10736207540612
2021-10-10,45,58.142857142857146,1.7719023011066422,49.37421996838165
2021-10-11,47,54.57142857142857,1.7448515613114508,50.14709824824426
2021-10-12,46,51.714285714285715,1.7219283261448035,50.80204782443418
2021-10-13,68,53.42857142857143,1.7358269356613625,50.404944695389645
2021-10-14,44,51.285714285714285,1.718383045380154,50.90334156056704
2021-10-15,49,52.285714285714285,1.7266107917944309,50.6682630915877
2021-10-16,44,49,1.6989700043360187,51.457999876113746
2021-10-17,44,50,1.7075701760979365,51.2122806829161
2021-10-18,40,48.57142857142857,1.6952314347766169,51.56481614923951
2021-10-19,37,46.857142857142854,1.6799467670225885,52.00152094221176
2021-10-20,43,43.42857142857143,1.6476623490125808,52.92393288535485
2021-10-21,34,41.857142857142854,1.6320232147054057,53.370765294131274
2021-10-22,34,39.57142857142857,1.6082203000327808,54.05084857049198
2021-10-23,36,38.285714285714285,1.5942346538160057,54.45043846239983
2021-10-24,39,44.142857142857146,1.654589042604147,52.72602735416723
2021-10-25,37,42.42857142857143,1.637775543594497,53.20641304015723
2021-10-26,33,40.42857142857143,1.6172999578846994,53.79142977472288
2021-10-27,37,38.42857142857143,1.5958110420509608,54.40539879854398
2021-10-28,34,37.42857142857143,1.5846542399881511,54.72416457176711
2021-10-29,28,35.714285714285715,1.5648350833170377,55.29042619094178
2021-10-30,22,32.857142857142854,1.529650305995847,56.2957055429758
2021-10-31,27,31.285714285714285,1.509010399133144,56.88541716762445
2021-11-01,33,31,1.505149978319906,56.99571490514555
2021-11-02,39,31.428571428571427,1.5109278171788658,56.83063379488955
2021-11-03,41,31.857142857142858,1.5166297960033361,56.66772011419039
2021-11-04,36,32.285714285714285,1.5222578810117622,56.50691768537822
2021-11-05,27,32.285714285714285,1.5222578810117622,56.50691768537822
2021-11-06,29,33.142857142857146,1.5332998609338808,56.191432544746256
