Date,Covid-19 Hospitalizations Index,Unemployment Claims Index,Home Sales Index,Rental Inventory Index,Subway Mobility Index,Restaurant Reservations Index
2021-04-17,5.980474634,5.395653957,27.13347921,9.585610305,5.945238095,3.68952381
2021-04-24,6.557534886,6.898881543,27.75229358,10.08930418,6.738095238,5.261428571
2021-05-01,7.016786212,18.44856067,27.66592095,10.64158687,6.364285714,5.43452381
2021-05-08,7.953509044,7.702768473,26.81602172,10.75158245,6.626190476,5.8811904759999996
2021-05-15,8.433651297,12.92520294,28.50035537,10.93856035,6.876190476,6.382619048
2021-05-22,8.908960838,8.831247477,28.53363568,11.54933601,7.023809524,6.866904762
2021-05-29,9.453631227,8.705486474,30.42071197,12.17922015,6.980952381,6.97047619
2021-06-05,9.963071472,9.500503315,27.25442834,12.4669916,7.426190476,6.914761905
2021-06-12,9.906096271,9.231695964,29.6025953,12.66840414,7.545238095,7.891190476
2021-06-19,10.32860372,9.497400544,26.86915888,13.20538082,7.94047619,8.221904762
2021-06-26,10.1065789,8.897750771,25.03770739,13.44377869,7.90952381,8.57
2021-07-03,10.1065789,9.056692543,23.45163535,14.34057395,8.197619048,9.155
2021-07-10,10.27417771,9.030623175,28.04761905,14.25880112,8.323809524,8.005
2021-07-17,9.593734603,12.77598394,23.74074074,14.46262811,8.342857143,8.763333333
2021-07-24,9,12.5,21.4,15.7,8.5,8.9
2021-07-31,8.17967706391202,9.569136470164054,24.17898193760263,16.392237287026916,8.321428571428571,8.543333333333333
2021-08-07,7.733868075526275,11.540459799974021,24.488124488124487,15.481750640039342,8.326190476190476,8.323333333333332
2021-08-14,6.921717058769963,11.47499685098879,24.561403508771928,16.195738135671437,8.307142857142857,8.166666666666666
2021-08-21,7.011234345436133,13.763253810470511,25.77464788732394,16.176713018286474,8.661904761904761,8.8533333333333335
2021-08-28,7.2993016343518455,11.662043458159964,27.058823529411764,15.069063263639967,7.67857142857143,7.916666666666667
2021-09-04,7.27081974476334,13.353064066852369,25.28032619775739,15.801932129137256,8.042857142857143,7.771666666666667
2021-09-11,7.472017661356607,10.451144731515024,20.649895178197063,15.098273742247487,8.814285714285715,8.471666666666666
2021-09-18,7.524643120782706,10.662333642162205,21.554252199413487,15.152434874666012,8.723809523809525,8.376666666666667
